"name","size"
"typeB_gifu_2020_10.zip",170717690
"typeB_fukui_2020_10.zip",252808677
"typeB_ishikawa_2020_10.zip",363171718
"typeB_toyama_2020_10.zip",402946538
"typeB_niigata_2020_10.zip",564921571
"typeB_nagano_2020_10.zip",729970234
"typeB_yamanashi_2020_10.zip",108148240
"typeB_kanagawa_2020_10.zip",1658873067
"typeB_hiroshima_2020_10.zip",192184390
"typeB_okayama_2020_10.zip",236450794
"typeB_shimane_2020_10.zip",256919979
"typeB_tottori_2020_10.zip",301927537
"typeB_wakayama_2020_10.zip",350035368
"typeB_nara_2020_10.zip",791378914
"typeB_hyogo_2020_10.zip",520431221
"typeB_osaka_2020_10.zip",1208295910
"typeB_kyoto_2020_10.zip",624417191
"typeB_shiga_2020_10.zip",296323404
"typeB_mie_2020_10.zip",240881881
"typeB_okinawa_2020_10.zip",368173501
"typeB_kagoshima_2020_10.zip",481742633
"typeB_miyazaki_2020_10.zip",404362835
"typeB_kumamoto_2020_10.zip",619689406
"typeB_nagasaki_2020_10.zip",138801639
"typeB_saga_2020_10.zip",187280071
"typeB_akita_2020_11.zip",103540108
"typeB_aomori_2020_11.zip",435437717
"typeB_asahikawa_2020_11.zip",277367995
"typeB_chiba_2020_11.zip",681067034
"typeB_fukui_2020_11.zip",243943877
"typeB_fukushima_2020_11.zip",296269865
"typeB_gifu_2020_11.zip",162445062
"typeB_gumma_2020_11.zip",503137329
"typeB_hakodate_2020_11.zip",236476679
"typeB_ibaraki_2020_11.zip",806997500
"typeB_ishikawa_2020_11.zip",351318446
"typeB_iwate_2020_11.zip",661036251
"typeB_kanagawa_2020_11.zip",1597095016
"typeB_kitami_2020_11.zip",189459948
"typeB_kushiro_2020_11.zip",311213674
"typeB_miyagi_2020_11.zip",567533834
"typeB_nagano_2020_11.zip",700346058
"typeB_niigata_2020_11.zip",545264338
"typeB_saitama_2020_11.zip",722452340
"typeB_sapporo_2020_11.zip",1143991261
"typeB_tochigi_2020_11.zip",153159242
"typeB_tokyo_2020_11.zip",1194375888
"typeB_toyama_2020_11.zip",392474941
"typeB_yamagata_2020_11.zip",366400367
"typeB_yamanashi_2020_11.zip",103348552
"typeB_aichi_2020_11.zip",363132945
"typeB_shizuoka_2020_11.zip",326901504
"typeB_ehime_2020_11.zip",404808242
"typeB_fukuoka_2020_11.zip",1288082486
"typeB_hiroshima_2020_11.zip",184975991
"typeB_hyogo_2020_11.zip",500743264
"typeB_kagawa_2020_11.zip",174581335
"typeB_kagoshima_2020_11.zip",458817722
"typeB_kochi_2020_11.zip",267127324
"typeB_kumamoto_2020_11.zip",593611444
"typeB_kyoto_2020_11.zip",605126073
"typeB_mie_2020_11.zip",230993884
"typeB_miyazaki_2020_11.zip",390233329
"typeB_nagasaki_2020_11.zip",133661076
"typeB_nara_2020_11.zip",760706346
"typeB_oita_2020_11.zip",375953732
"typeB_okayama_2020_11.zip",228155665
"typeB_okinawa_2020_11.zip",352335911
"typeB_osaka_2020_11.zip",1163895980
"typeB_saga_2020_11.zip",181419155
"typeB_shiga_2020_11.zip",288034456
"typeB_shimane_2020_11.zip",245582095
"typeB_tokushima_2020_11.zip",165420572
"typeB_tottori_2020_11.zip",290936301
"typeB_wakayama_2020_11.zip",335385767
"typeB_yamaguchi_2020_11.zip",182101922
"typeB_oita_2020_10.zip",387848470
"typeB_fukuoka_2020_10.zip",1335945128
"typeB_kochi_2020_10.zip",277561076
"typeB_ehime_2020_10.zip",419648557
"typeB_kagawa_2020_10.zip",181014427
"typeB_tokushima_2020_10.zip",172400030
"typeB_yamaguchi_2020_10.zip",189190182
"typeB_akita_2020_12.zip",107249901
"typeB_aomori_2020_12.zip",449431237
"typeB_asahikawa_2020_12.zip",281929343
"typeB_hakodate_2020_12.zip",242124438
"typeB_iwate_2020_12.zip",685809320
"typeB_kitami_2020_12.zip",196893586
"typeB_kushiro_2020_12.zip",322556230
"typeB_miyagi_2020_12.zip",587607977
"typeB_sapporo_2020_12.zip",1178347945
"typeB_fukushima_2020_12.zip",308425253
"typeB_ibaraki_2020_12.zip",836728974
"typeB_tochigi_2020_12.zip",156151171
"typeB_aichi_2020_12.zip",374214183
"typeB_chiba_2020_12.zip",696097531
"typeB_ehime_2020_12.zip",417213819
"typeB_fukui_2020_12.zip",252351885
"typeB_fukuoka_2020_12.zip",1307629894
