"name","size"
"typeB_chiba_2020_09.zip", 656.91M
"typeB_saitama_2020_09.zip", 695.27M
"typeB_gumma_2020_09.zip", 480.6M
"typeB_tochigi_2020_09.zip", 145.69M
"typeB_ibaraki_2020_09.zip", 774.69M
"typeB_fukushima_2020_09.zip", 284.58M
"typeB_yamagata_2020_09.zip", 349.88M
"typeB_akita_2020_09.zip",  99.41M
"typeB_miyagi_2020_09.zip", 541.29M
"typeB_iwate_2020_09.zip", 637.51M
"typeB_aomori_2020_09.zip", 412.84M
"typeB_aichi_2020_09.zip", 351.15M
"typeB_shizuoka_2020_09.zip", 312.97M
"typeB_gifu_2020_09.zip", 158.41M
"typeB_fukui_2020_09.zip", 233.11M
"typeB_ishikawa_2020_09.zip", 334.72M
"typeB_toyama_2020_09.zip", 368.88M
"typeB_niigata_2020_09.zip", 523.07M
"typeB_nagano_2020_09.zip", 672.86M
"typeB_yamanashi_2020_09.zip",  99.84M
"typeB_kanagawa_2020_09.zip",   1.5G
"typeB_tokyo_2020_09.zip",   1.12G
"typeB_hiroshima_2020_09.zip", 179.2M
"typeB_okayama_2020_09.zip", 217.8M
"typeB_shimane_2020_09.zip", 235.09M
"typeB_tottori_2020_09.zip", 280.08M
"typeB_wakayama_2020_09.zip", 325.99M
"typeB_nara_2020_09.zip", 729.03M
"typeB_hyogo_2020_09.zip", 478.83M
"typeB_osaka_2020_09.zip",   1.1G
"typeB_kyoto_2020_09.zip", 576.92M
"typeB_shiga_2020_09.zip", 272.93M
"typeB_mie_2020_09.zip", 224.39M
"typeB_okinawa_2020_09.zip", 339.22M
"typeB_kagoshima_2020_09.zip", 445.73M
"typeB_miyazaki_2020_09.zip", 372.78M
"typeB_oita_2020_09.zip", 357.97M
"typeB_kumamoto_2020_09.zip", 573.24M
"typeB_nagasaki_2020_09.zip", 127.85M
"typeB_saga_2020_09.zip", 172.86M
"typeB_fukuoka_2020_09.zip",   1.2G
"typeB_kochi_2020_09.zip", 256.82M
